filename,category,text
doc_0,rec.sport.hockey,"

I am sure some bashers of Pens fans are pretty confused about the lack
of any kind of posts about the recent Pens massacre of the Devils. Actually,
I am  bit puzzled too and a bit relieved. However, I am going to put an end
to non-PIttsburghers' relief with a bit of praise for the Pens. Man, they
are killing those Devils worse than I thought. Jagr just showed you why
he is much better than his regular season stats. He is also a lot
fo fun to watch in the playoffs. Bowman should let JAgr have a lot of
fun in the next couple of games since the Pens are going to beat the pulp out of Jersey anyway. I was very disappointed not to see the Islanders lose the final
regular season game.          PENS RULE!!!

"
doc_1,comp.sys.ibm.pc.hardware,"My brother is in the market for a high-performance video card that supports
VESA local bus with 1-2MB RAM.  Does anyone have suggestions/ideas on:

  - Diamond Stealth Pro Local Bus

  - Orchid Farenheit 1280

  - ATI Graphics Ultra Pro

  - Any other high-performance VLB card


Please post or email.  Thank you!

  - Matt
"
doc_2,talk.politics.mideast,"



	Finally you said what you dream about. Mediterranean???? That was new....
	The area will be ""greater"" after some years, like your ""holocaust"" numbers......




		*****
	Is't July in USA now????? Here in Sweden it's April and still cold.
	Or have you changed your calendar???


						    ****************
						    ******************
			    ***************


	NOTHING OF THE MENTIONED IS TRUE, BUT LET SAY IT's TRUE.
	
	SHALL THE AZERI WOMEN AND CHILDREN GOING TO PAY THE PRICE WITH
						    **************
	BEING RAPED, KILLED AND TORTURED BY THE ARMENIANS??????????
	
	HAVE YOU HEARDED SOMETHING CALLED: ""GENEVA CONVENTION""???????
	YOU FACIST!!!!!



	Ohhh i forgot, this is how Armenians fight, nobody has forgot
	you killings, rapings and torture against the Kurds and Turks once
	upon a time!
      
       


Ohhhh so swedish RedCross workers do lie they too? What ever you say
""regional killer"", if you don't like the person then shoot him that's your policy.....l


										i
										i
										i
	Confused?????								i
										i
        Search Turkish planes? You don't know what you are talking about.	i
        Turkey's government has announced that it's giving weapons  <-----------i
        to Azerbadjan since Armenia started to attack Azerbadjan		
        it self, not the Karabag province. So why search a plane for weapons	
        since it's content is announced to be weapons?   

	If there is one that's confused then that's you! We have the right (and we do)
	to give weapons to the Azeris, since Armenians started the fight in Azerbadjan!
 


	Shoot down with what? Armenian bread and butter? Or the arms and personel 
	of the Russian army?


"
doc_3,comp.sys.ibm.pc.hardware,"
Think!

It's the SCSI card doing the DMA transfers NOT the disks...

The SCSI card can do DMA transfers containing data from any of the SCSI devices
it is attached when it wants to.

An important feature of SCSI is the ability to detach a device. This frees the
SCSI bus for other devices. This is typically used in a multi-tasking OS to
start transfers on several devices. While each device is seeking the data the
bus is free for other commands and data transfers. When the devices are
ready to transfer the data they can aquire the bus and send the data.

On an IDE bus when you start a transfer the bus is busy until the disk has seeked
the data and transfered it. This is typically a 10-20ms second lock out for other
processes wanting the bus irrespective of transfer time.
"
doc_4,comp.sys.mac.hardware,"1)    I have an old Jasmine drive which I cannot use with my new system.
 My understanding is that I have to upsate the driver with a more modern
one in order to gain compatability with system 7.0.1.  does anyone know
of an inexpensive program to do this?  ( I have seen formatters for <$20
buit have no idea if they will work)
 
2)     I have another ancient device, this one a tape drive for which
the back utility freezes the system if I try to use it.  THe drive is a
jasmine direct tape (bought used for $150 w/ 6 tapes, techmar
mechanism).  Essentially I have the same question as above, anyone know
of an inexpensive beckup utility I can use with system 7.0.1"
doc_5,sci.electronics,"

Back in high school I worked as a lab assistant for a bunch of experimental
psychologists at Bell Labs.  When they were doing visual perception and
memory experiments, they used vector-type displays, with 1-millisecond
refresh rates common.

So your case of 1/200th sec is quite practical, and the experimenters were
probably sure that it was 5 milliseconds, not 4 or 6 either.


Steve"
doc_6,comp.sys.mac.hardware,"

AE is in Dallas...try 214/241-6060 or 214/241-0055.  Tech support may be on
their own line, but one of these should get you started."
doc_7,rec.sport.hockey,"
[stuff deleted]

Ok, here's the solution to your problem.  Move to Canada.  Yesterday I was able
to watch FOUR games...the NJ-PITT at 1:00 on ABC, LA-CAL at 3:00 (CBC), 
BUFF-BOS at 7:00 (TSN and FOX), and MON-QUE at 7:30 (CBC).  I think that if
each series goes its max I could be watching hockey playoffs for 40-some odd
consecutive nights (I haven't counted so that's a pure guess).

I have two tv's in my house, and I set them up side-by-side to watch MON-QUE
and keep an eye on BOS-BUFF at the same time.  I did the same for the two
afternoon games.

Btw, those ABC commentaters were great!  I was quite impressed; they seemed
to know that their audience wasn't likely to be well-schooled in hockey lore
and they did an excellent job.  They were quite impartial also, IMO.

"
doc_8,rec.sport.hockey,"


Yeah, it's the second one.  And I believe that price too.  I've been trying
to get a good look at it on the Bruin-Sabre telecasts, and wow! does it ever
look good.  Whoever did that paint job knew what they were doing.  And given
Fuhr's play since he got it, I bet the Bruins are wishing he didn't have it:)
"
doc_9,talk.religion.misc,"
If a Christian means someone who believes in the divinity of Jesus, it is safe
to say that Jesus was a Christian.
--
""On the first day after Christmas my truelove served to me...  Leftover Turkey!
On the second day after Christmas my truelove served to me...  Turkey Casserole
    that she made from Leftover Turkey.
[days 3-4 deleted] ...  Flaming Turkey Wings! ...
   -- Pizza Hut commercial (and M*tlu/A*gic bait)"
